,Date,Price
0,2014-02-21,6.795605284443246
1,2014-02-22,4.536060932866001
2,2014-02-23,4.72950930169857
3,2014-02-24,5.089471555675384
4,2014-02-25,5.721650040442167
5,2014-02-26,5.7315044486384465
6,2014-02-27,6.0286060932866
7,2014-02-28,4.61005661903478
8,2014-03-01,2.939525478565651
9,2014-03-02,2.9246697222971147
10,2014-03-03,2.998530601240226
11,2014-03-04,3.3567942841736316
12,2014-03-05,3.193906713399838
13,2014-03-06,3.4668643839309787
14,2014-03-07,3.159692639525478
15,2014-03-08,2.2698571043407925
16,2014-03-09,1.9518064168239415
17,2014-03-10,2.142976543542734
18,2014-03-11,2.317511458614182
19,2014-03-12,2.4393502291722835
20,2014-03-13,2.57291722836344
21,2014-03-14,2.5923699110272307
22,2014-03-15,1.880547317336209
23,2014-03-16,1.553720679428417
24,2014-03-17,1.5361148557562683
25,2014-03-18,1.7831221353464544
26,2014-03-19,1.803167969803181
27,2014-03-20,1.8932866001617683
28,2014-03-21,1.9159611755190078
29,2014-03-22,1.7562415745483955
30,2014-03-23,1.5397276894041518
31,2014-03-24,1.4880560798058775
32,2014-03-25,1.6002561337287677
33,2014-03-26,1.6585467781073064
34,2014-03-27,1.7416554327311942
35,2014-03-28,1.7289700727959016
36,2014-03-29,1.6513076300889726
37,2014-03-30,1.5418441628471284
38,2014-03-31,1.5150714478296037
39,2014-04-01,1.665893771906174
40,2014-04-02,1.4654489080614719
41,2014-04-03,1.4282690752224318
42,2014-04-04,1.418333782690752
43,2014-04-05,1.3722027500674037
44,2014-04-06,1.3035723914801831
45,2014-04-07,1.3079131841466702
46,2014-04-08,1.3245888379617146
47,2014-04-09,1.3118495551361553
48,2014-04-10,1.2995281747101644
49,2014-04-11,1.3539498517120518
50,2014-04-12,1.338878403882448
51,2014-04-13,1.2729981126988406
52,2014-04-14,1.248503639795093
53,2014-04-15,1.2875168509032082
54,2014-04-16,1.301833378269075
55,2014-04-17,1.30288487462928
56,2014-04-18,1.3205581019142625
57,2014-04-19,1.3041116203828524
58,2014-04-20,1.2885548665408464
59,2014-04-21,1.2719061741709354
60,2014-04-22,1.272067942841736
61,2014-04-23,1.272081423564303
62,2014-04-24,1.2854273389053652
63,2014-04-25,1.3793744944729036
64,2014-04-26,1.3416015098409273
65,2014-04-27,1.294108924238339
66,2014-04-28,1.281598813696414
67,2014-04-29,1.2807360474521432
68,2014-04-30,1.3658398490159072
69,2014-05-01,1.399352925316797
70,2014-05-02,1.1062954974386625
71,2014-05-03,1.00502830951739
72,2014-05-04,0.9199379886761929
73,2014-05-05,0.8848072256672957
74,2014-05-06,0.8691561067673227
75,2014-05-07,0.8502022108385008
76,2014-05-08,0.8364249123753033
77,2014-05-09,0.8397007279590185
78,2014-05-10,0.7826772715017524
79,2014-05-11,0.6413184146670261
80,2014-05-12,0.5730924777568077
81,2014-05-13,0.5470207603127527
82,2014-05-14,0.5460231868428147
83,2014-05-15,0.5684820706389863
84,2014-05-16,0.5640603936370989
85,2014-05-17,0.5227554596926395
86,2014-05-18,0.47216230789970337
87,2014-05-19,0.4449042868697762
88,2014-05-20,0.44331356160690205
89,2014-05-21,0.43664060393637094
90,2014-05-22,0.43661364249123746
91,2014-05-23,0.5026152601779454
92,2014-05-24,0.5494338096521972
93,2014-05-25,0.5011593421407388
94,2014-05-26,0.4716500404421677
95,2014-05-27,0.45177945537880826
96,2014-05-28,0.47944189808573734
97,2014-05-29,0.5170261526017794
98,2014-05-30,0.5772040981396602
99,2014-05-31,0.5466163386357509
100,2014-06-01,0.5034510649770827
101,2014-06-02,0.5193717983283904
102,2014-06-03,0.6066325155028309
103,2014-06-04,0.6297923968724723
104,2014-06-05,0.5643165273658667
105,2014-06-06,0.5089781612294418
106,2014-06-07,0.47225667295767043
107,2014-06-08,0.42527635481261794
108,2014-06-09,0.3971151253707198
109,2014-06-10,0.38235373416015095
110,2014-06-11,0.3722566729576705
111,2014-06-12,0.5210973308169318
112,2014-06-13,0.5212860609328659
113,2014-06-14,0.48793475330277697
114,2014-06-15,0.4312348341871124
115,2014-06-16,0.4132515502830951
116,2014-06-17,0.40966567808034504
117,2014-06-18,0.39588837961714746
118,2014-06-19,0.3667700188730116
119,2014-06-20,0.3066325155028309
120,2014-06-21,0.2815583715287139
121,2014-06-22,0.2569021299541655
122,2014-06-23,0.24339444594230247
123,2014-06-24,0.2378403882448099
124,2014-06-25,0.25341062280938254
125,2014-06-26,0.2641412779724993
126,2014-06-27,0.2797923968724723
127,2014-06-28,0.2827177136694527
128,2014-06-29,0.2805742787813426
129,2014-06-30,0.29168239417632785
130,2014-07-01,0.35888379617147476
131,2014-07-02,0.23744944729037476
132,2014-07-03,0.22045025613372876
133,2014-07-04,0.25
134,2014-07-05,0.2574413588568347
135,2014-07-06,0.2593286600161768
136,2014-07-07,0.2552574818010245
137,2014-07-08,0.2518873011593421
138,2014-07-09,0.25467781073065515
139,2014-07-10,0.24444594230250738
140,2014-07-11,0.2232542464276085
141,2014-07-12,0.22054462119169585
142,2014-07-13,0.21528713939067132
143,2014-07-14,0.21396602857913183
144,2014-07-15,0.21625775141547587
145,2014-07-16,0.22368562954974386
146,2014-07-17,0.2382582906443785
147,2014-07-18,0.2538150444863844
148,2014-07-19,0.2693583176058237
149,2014-07-20,0.2624966298193583
150,2014-07-21,0.24911027231059582
151,2014-07-22,0.23503639795093012
152,2014-07-23,0.22839040172553246
153,2014-07-24,0.22860609328660011
154,2014-07-25,0.24962253976813153
155,2014-07-26,0.28176058236721485
156,2014-07-27,0.3265031005661903
