,Date,Price
0,2014-07-02,4.3203693717983285
1,2014-07-03,3.3690752224319223
2,2014-07-04,3.9666486923699105
3,2014-07-05,4.018266379077918
4,2014-07-06,4.076813157185224
5,2014-07-07,4.323119439201941
6,2014-07-08,4.504731733620922
7,2014-07-09,3.021259099487732
8,2014-07-10,1.9966163386357507
9,2014-07-11,1.6745753572391477
10,2014-07-12,1.8167430574278778
11,2014-07-13,1.8967915880291182
12,2014-07-14,1.9889862496629818
13,2014-07-15,2.004785656511189
14,2014-07-16,1.796656780803451
15,2014-07-17,1.30288487462928
16,2014-07-18,1.2783634402803987
17,2014-07-19,1.3541925047182526
18,2014-07-20,1.369735777837692
19,2014-07-21,1.3810595847937448
20,2014-07-22,1.4486788891884603
21,2014-07-23,1.468576435696953
22,2014-07-24,1.2337422485845242
23,2014-07-25,1.2292262065246695
24,2014-07-26,1.346899433809652
25,2014-07-27,1.3191695874898892
26,2014-07-28,1.3280938258290644
27,2014-07-29,1.4465354543003504
28,2014-07-30,1.4455648422755458
29,2014-07-31,1.3596387166352115
30,2014-08-01,1.361660825020221
31,2014-08-02,1.382704232946886
32,2014-08-03,1.360555405769749
33,2014-08-04,1.3444998651927742
34,2014-08-05,1.279765435427339
35,2014-08-06,1.3152062550552708
36,2014-08-07,1.3034106228093825
37,2014-08-08,1.2854543003504988
38,2014-08-09,1.2714343488811
39,2014-08-10,1.2386492315988136
40,2014-08-11,1.2249258560258829
41,2014-08-12,1.2278916149905632
42,2014-08-13,1.2244001078457802
43,2014-08-14,1.2151927743327042
44,2014-08-15,1.2392558641143163
45,2014-08-16,1.2305877595039092
46,2014-08-17,1.1415880291183607
47,2014-08-18,1.1271771366945267
48,2014-08-19,1.1987328120787273
49,2014-08-20,1.1918037206794283
50,2014-08-21,1.2081019142626044
51,2014-08-22,1.22213534645457
52,2014-08-23,1.2301833378269074
53,2014-08-24,1.2011728228633052
54,2014-08-25,1.2487597735238607
55,2014-08-26,1.2705176597465624
56,2014-08-27,1.2726610946346724
57,2014-08-28,1.2736047452143433
58,2014-08-29,1.3287004583445672
59,2014-08-30,1.3234429765435427
60,2014-08-31,1.2734160150984093
61,2014-09-01,1.2614586141817201
62,2014-09-02,1.284429765435427
63,2014-09-03,1.275519007818819
64,2014-09-04,1.2010649770827715
65,2014-09-05,1.1660555405769748
66,2014-09-06,1.1275006740361284
67,2014-09-07,1.0659207333513074
68,2014-09-08,1.0381908870315448
69,2014-09-09,1.0344028039902937
70,2014-09-10,1.0324885413858182
71,2014-09-11,0.9944324615799406
72,2014-09-12,0.9107441358856834
73,2014-09-13,0.7668643839309787
74,2014-09-14,0.6947155567538419
75,2014-09-15,0.7247775680776489
76,2014-09-16,0.7327311943920193
77,2014-09-17,0.7780264222162308
78,2014-09-18,0.804084658937719
79,2014-09-19,0.7431383122135345
80,2014-09-20,0.6175653815044486
81,2014-09-21,0.5432866001617687
82,2014-09-22,0.539929900242653
83,2014-09-23,0.5486249662981936
84,2014-09-24,0.54002426530062
85,2014-09-25,0.5928552170396333
86,2014-09-26,0.5976678349959558
87,2014-09-27,0.5437584254516041
88,2014-09-28,0.4928417363170665
89,2014-09-29,0.500498786734969
90,2014-09-30,0.5545430035049879
91,2014-10-01,0.609611755190078
92,2014-10-02,0.6105823672148827
93,2014-10-03,0.5714073874359665
94,2014-10-04,0.5898490159072526
95,2014-10-05,0.5843084389323268
96,2014-10-06,0.6094769479644108
97,2014-10-07,0.6529118360744135
98,2014-10-08,0.6731598813696413
99,2014-10-09,0.6928012941493664
100,2014-10-10,0.7337826907522242
101,2014-10-11,0.7140469129145322
102,2014-10-12,0.6346589377190617
103,2014-10-13,0.6201671609598274
104,2014-10-14,0.6121326503100566
105,2014-10-15,0.6257212186573199
106,2014-10-16,0.6251011054192503
107,2014-10-17,0.6388379617147479
108,2014-10-18,0.616850903208412
109,2014-10-19,0.5488945807495281
110,2014-10-20,0.530601240226476
111,2014-10-21,0.5335130763008897
112,2014-10-22,0.5272984631976274
113,2014-10-23,0.5307630088972768
114,2014-10-24,0.5612294418980857
115,2014-10-25,0.5375303316257751
116,2014-10-26,0.5015637638177406
117,2014-10-27,0.4966433000808843
118,2014-10-28,0.49026691830682123
119,2014-10-29,0.49557832299811266
120,2014-10-30,0.4871124292262065
121,2014-10-31,0.5076031275276355
122,2014-11-01,0.5024804529522782
123,2014-11-02,0.4674710164464815
124,2014-11-03,0.43526557023456447
125,2014-11-04,0.4648827177136694
126,2014-11-05,0.4611350768401186
127,2014-11-06,0.45186033971420864
128,2014-11-07,0.4487462928012941
129,2014-11-08,0.4291048800215691
130,2014-11-09,0.3713534645456996
131,2014-11-10,0.3723645187382043
132,2014-11-11,0.37165004044216765
133,2014-11-12,0.2345241304933944
134,2014-11-13,0.19284173631706658
135,2014-11-14,0.24041520625505525
136,2014-11-15,0.21834726341331892
137,2014-11-16,0.17914532218926932
138,2014-11-17,0.17098948503639794
139,2014-11-18,0.17843084389323266
140,2014-11-19,0.15829064437853868
141,2014-11-20,0.13949851712051767
142,2014-11-21,0.12902399568616876
143,2014-11-22,0.11876516581288757
144,2014-11-23,0.11137772984631976
145,2014-11-24,0.11539498517120517
146,2014-11-25,0.12644917767592342
147,2014-11-26,0.12382043677541116
148,2014-11-27,0.12098948503639793
149,2014-11-28,0.13015637638177405
150,2014-11-29,0.1263548126179563
151,2014-11-30,0.11114855756268534
152,2014-12-01,0.12024804529522781
153,2014-12-02,0.12422485845241303
154,2014-12-03,0.13302777028848745
155,2014-12-04,0.13611485575626853
